synindex,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,3,1,7,15,0,5,1,2,0.7,0.65,0.56,0.15,82,245,327
1,2,0,4,8,0,2,1,1,0.5,0.48,0.72,0.25,24,315,339
2,4,1,12,23,0,1,1,3,0.3,0.29,0.45,0.12,10,56,66
3,1,0,2,5,0,6,0,1,0.2,0.18,0.75,0.35,5,15,20
4,3,1,9,18,0,3,1,2,0.6,0.56,0.63,0.2,48,189,237
5,2,0,5,10,0,4,1,1,0.4,0.42,0.68,0.3,36,365,401
6,4,1,11,21,0,0,1,3,0.4,0.39,0.57,0.18,19,115,134
7,1,0,3,6,0,5,1,1,0.3,0.31,0.74,0.4,8,102,110
8,3,1,8,12,0,2,1,2,0.7,0.68,0.55,0.17,65,319,384
9,2,0,6,14,0,3,1,1,0.5,0.47,0.67,0.28,52,432,484
10,3,1,7,10,0,3,1,2,0.63,0.6061,0.77,0.1343,33,192,225
11,2,0,5,16,0,2,1,1,0.62,0.5909,0.73,0.1343,20,210,230
12,4,1,12,23,0,6,0,1,0.36,0.3485,0.54,0.1343,5,11,16
13,1,1,3,8,0,5,1,1,0.22,0.2121,0.79,0.194,1,25,26
14,2,1,6,17,0,4,1,1,0.64,0.6212,0.68,0.1045,37,231,268
15,3,0,9,12,0,0,1,2,0.72,0.6667,0.47,0.2239,14,25,39
16,4,0,11,4,0,6,0,1,0.24,0.2121,0.8,0.2836,1,3,4
17,1,0,1,6,0,0,0,1,0.2,0.1818,0.86,0.2239,2,3,5
18,2,1,8,21,0,3,1,1,0.78,0.7273,0.56,0.1045,38,226,264
19,4,0,10,15,0,6,1,1,0.5,0.4848,0.62,0.2537,29,114,143
20,4,1,3,13,0,6,1,2,0.55,0.52,0.78,0.1642,65,221,286
21,2,0,5,8,0,3,1,1,0.52,0.5,0.65,0.2239,12,143,155
22,3,1,8,17,0,5,1,1,0.74,0.7,0.71,0.1045,57,412,469
23,1,0,11,2,0,4,0,2,0.38,0.3939,0.87,0.3582,3,11,14
24,4,1,6,21,0,1,1,2,0.8,0.7424,0.67,0.0896,70,622,692
25,2,1,12,7,0,0,0,1,0.3,0.303,0.86,0.2537,8,122,130
26,3,0,10,16,0,2,1,3,0.62,0.5606,0.79,0.1343,56,311,367
27,1,1,2,4,0,6,0,4,0.3,0.303,0.81,0.1045,2,10,12
28,4,0,9,14,0,3,1,1,0.64,0.6212,0.65,0.1045,35,195,230
29,2,1,7,10,0,5,1,1,0.86,0.8182,0.55,0.0,98,184,282
30,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
31,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
32,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
33,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
34,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
35,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0,0,1,1
36,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
37,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
38,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
39,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
40,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.0,12,24,36
41,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.0,26,30,56
42,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.0,29,55,84
43,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.0,47,47,94
44,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.0,35,71,106
45,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.0,40,70,110
46,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.0,41,52,93
47,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.0,15,52,67
48,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.0,9,26,35
49,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.0,6,31,37
50,3,1,8,14,0,4,1,2,0.52,0.5,0.73,0.12,45,189,234
51,2,1,5,5,0,2,1,1,0.64,0.62,0.68,0.15,25,220,245
52,4,0,12,18,0,0,1,3,0.32,0.3,0.59,0.18,15,58,73
53,1,1,3,9,0,6,1,1,0.45,0.45,0.48,0.25,10,145,155
54,3,0,7,20,0,5,1,2,0.75,0.7,0.76,0.2,30,198,228
55,2,0,10,6,0,3,1,1,0.56,0.53,0.7,0.15,20,180,200
56,4,1,1,23,0,1,1,3,0.24,0.25,0.72,0.15,35,210,245
57,1,0,6,12,0,4,1,1,0.7,0.65,0.82,0.12,40,220,260
58,3,1,9,17,0,0,1,2,0.62,0.6,0.74,0.1,50,230,280
59,2,1,4,2,0,5,1,1,0.58,0.55,0.68,0.2,15,175,190
60,3,1,7,12,0,5,1,2,0.65,0.67,0.58,0.1642,35,376,411
61,2,0,11,15,0,3,1,1,0.55,0.56,0.65,0.2239,12,256,268
62,1,1,3,8,0,2,1,2,0.3,0.34,0.52,0.2985,9,185,194
63,4,0,9,20,0,1,1,1,0.65,0.63,0.77,0.2239,45,294,339
64,2,1,6,17,0,6,0,3,0.75,0.74,0.51,0.2537,78,432,510
65,3,0,5,6,0,4,1,1,0.48,0.49,0.75,0.1343,8,164,172
66,1,1,10,9,0,3,1,2,0.55,0.52,0.69,0.1045,32,231,263
67,4,0,2,23,0,0,0,1,0.26,0.3,0.86,0.2537,4,34,38
68,3,1,8,14,0,2,1,2,0.8,0.78,0.48,0.2537,59,391,450
69,2,0,12,18,0,5,1,1,0.4,0.41,0.45,0.194,25,352,377
70,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
71,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
